"Bacteria","Lag_Combination","combination_id","AIC","BIC","Deviance_Explained_pct","GCV","sample_size","temp_lag","prec_lag","hum_lag","wet_lag","is_original_optimal","Rank","Optimal","CV_RMSE","CV_RMSE_sd"
"3GCR-Ec","2-2-2-2","T2_P2_H2_W2",1270.46376434119,1486.93019542846,85.0738434173187,685.963356738256,765,2,2,2,2,FALSE,34,"No",NA,NA
"3GCR-Ec","2-2-2-1","T2_P2_H2_W1",1270.75683810174,1487.63150776578,85.0715583864209,686.03510456101,765,2,2,2,1,FALSE,35,"No",NA,NA
"3GCR-Ec","2-2-1-2","T2_P2_H1_W2",1272.16444333386,1487.12928759453,85.0279618005924,686.932998095772,765,2,2,1,2,FALSE,36,"No",NA,NA
"3GCR-Kp","2-3-2-1","T2_P3_H2_W1",174.300388535533,389.994768623405,82.3026635676745,157.885605150159,545,2,3,2,1,FALSE,1,"Yes",0.537062104828697,0.0374161100679764
"3GCR-Kp","3-3-2-1","T3_P3_H2_W1",176.531147838182,391.745716067628,82.2228008624356,158.177869935532,545,3,3,2,1,FALSE,2,"No",0.589126488681204,0.126476109833659
"3GCR-Kp","3-3-1-1","T3_P3_H1_W1",178.844784855166,396.154636608175,82.1790620543149,160.102983072999,545,3,3,1,1,TRUE,3,"No",0.502508776999132,0.0684092529472548
"3GCR-Kp","3-3-2-2","T3_P3_H2_W2",184.912214560402,399.928883272105,81.9442597367575,161.374043500341,545,3,3,2,2,FALSE,4,"No",0.632630351884943,0.195142812082506
"3GCR-Kp","3-2-2-2","T3_P2_H2_W2",185.163675260998,395.519648495015,81.8639462944316,161.49275064681,545,3,2,2,2,FALSE,5,"No",0.735013412083539,0.386092704135275
"3GCR-Kp","3-2-2-1","T3_P2_H2_W1",188.714546919378,398.035183707898,81.7292639813174,162.584658739453,545,3,2,2,1,FALSE,6,"No",0.618989729964485,0.1621992486117
"3GCR-Kp","3-3-1-2","T3_P3_H1_W2",188.770628111269,402.515931496015,81.7962406919284,163.131745464607,545,3,3,1,2,FALSE,7,"No",0.521947978524902,0.0653964246821463
"3GCR-Kp","2-3-2-2","T2_P3_H2_W2",188.869036912037,403.966040640577,81.8139406370541,163.678105754802,545,2,3,2,2,FALSE,8,"No",0.551865316524021,0.0227348625919395
"3GCR-Kp","3-2-1-2","T3_P2_H1_W2",190.631755065936,400.518562346939,81.6737332378445,163.930088642132,545,3,2,1,2,FALSE,9,"No",0.741915481147116,0.364895079177321
"3GCR-Kp","3-2-1-1","T3_P2_H1_W1",191.606387334623,405.191895544209,81.6987803667239,165.301706468714,545,3,2,1,1,FALSE,10,"No",0.610522055791353,0.130465857486422
"3GCR-Kp","2-3-1-1","T2_P3_H1_W1",192.129675125813,399.660197335434,81.586310293359,164.987174779895,545,2,3,1,1,FALSE,11,"No",NA,NA
"3GCR-Kp","2-3-1-2","T2_P3_H1_W2",204.949128615013,409.427514180763,81.0988906020853,170.142182615238,545,2,3,1,2,FALSE,12,"No",NA,NA
"3GCR-Kp","2-2-2-1","T2_P2_H2_W1",393.37235902449,611.185976698955,76.3568022609823,246.681541291557,620,2,2,2,1,FALSE,13,"No",NA,NA
"3GCR-Kp","2-2-1-1","T2_P2_H1_W1",393.990808891837,618.860269051647,76.4544992355461,247.771729868921,620,2,2,1,1,FALSE,14,"No",NA,NA
"3GCR-Kp","2-2-2-2","T2_P2_H2_W2",395.775762527683,618.32408211826,76.3466676371276,247.329282714096,620,2,2,2,2,FALSE,15,"No",NA,NA
"3GCR-Kp","2-2-1-2","T2_P2_H1_W2",403.764057077061,615.922038237547,75.8579581074366,248.939721797483,620,2,2,1,2,FALSE,16,"No",NA,NA
"CR-Ab","3-2-3-3","T3_P2_H3_W3",112.648754978911,277.497742135126,91.0135521556084,120.206717547354,294,3,2,3,3,FALSE,1,"Yes",0.745296507867756,0.138927751569811
"CR-Ab","3-2-2-2","T3_P2_H2_W2",115.876217575264,292.290145211918,91.1063491255158,121.703748713199,294,3,2,2,2,FALSE,2,"No",0.840169256018624,0.166488917576316
"CR-Ab","3-3-2-2","T3_P3_H2_W2",118.389890266296,279.647864945632,90.7753699222725,121.358252507407,294,3,3,2,2,FALSE,3,"No",0.828815152375382,0.189433778388566
"CR-Ab","3-1-2-2","T3_P1_H2_W2",118.442099370955,283.480578040016,90.8379225081242,121.546633066388,294,3,1,2,2,FALSE,4,"No",0.859390757196659,0.188879231814126
"CR-Ab","2-2-2-3","T2_P2_H2_W3",118.838805549074,292.96246882957,90.9781983244523,122.252940885972,294,2,2,2,3,FALSE,5,"No",0.81807552910386,0.18251667344495
"CR-Ab","3-2-2-3","T3_P2_H2_W3",120.754384268883,280.941005863818,90.6824648254792,120.370878687826,294,3,2,2,3,FALSE,6,"No",0.744655392854438,0.183537851580915
"CR-Ab","2-2-3-3","T2_P2_H3_W3",121.642102617939,283.117470843718,90.676504982781,121.709494869931,294,2,2,3,3,FALSE,7,"No",0.82286222574359,0.16213417049853
"CR-Ab","2-3-2-2","T2_P3_H2_W2",127.164493818301,286.899722045702,90.4691410909691,123.39631913812,294,2,3,2,2,FALSE,8,"No",0.814065144629563,0.240178622253516
"CR-Ab","3-2-2-1","T3_P2_H2_W1",128.862049463976,279.576668191094,90.2529193305608,122.244245196749,294,3,2,2,1,FALSE,9,"No",0.817357043670552,0.184717767963828
"CR-Ab","1-2-3-2","T1_P2_H3_W2",129.849484666868,291.689346322557,90.4190122649194,126.444767484865,294,1,2,3,2,FALSE,10,"No",0.905693319161211,0.167323990076849
"CR-Ab","3-2-3-2","T3_P2_H3_W2",130.520887053929,287.951478080016,90.3185926643409,124.520148888551,294,3,2,3,2,FALSE,11,"No",NA,NA
"CR-Ab","2-2-3-2","T2_P2_H3_W2",130.837764377493,278.412037509523,90.1301225846474,124.752167096186,294,2,2,3,2,TRUE,12,"No",0.843903804275616,0.154060729734478
"CR-Ab","3-1-3-3","T3_P1_H3_W3",132.737310107671,283.665497942879,90.1274856521705,123.452436985724,294,3,1,3,3,FALSE,13,"No",NA,NA
"CR-Ab","3-1-2-1","T3_P1_H2_W1",134.084527168747,286.879545402183,90.1162762961566,122.342914002722,294,3,1,2,1,FALSE,14,"No",NA,NA
"CR-Ab","1-2-3-3","T1_P2_H3_W3",134.502803057036,293.232354125348,90.2100893540904,127.073151460774,294,1,2,3,3,FALSE,15,"No",NA,NA
"CR-Ab","3-2-3-1","T3_P2_H3_W1",135.394140316168,285.508268878637,90.0228768783877,124.91230115189,294,3,2,3,1,FALSE,16,"No",NA,NA
"CR-Ab","2-1-3-3","T2_P1_H3_W3",136.538404395085,287.068828999745,89.9916670955461,125.237972855843,294,2,1,3,3,FALSE,17,"No",NA,NA
"CR-Ab","3-3-2-3","T3_P3_H2_W3",138.373414507536,288.131350149079,89.9146268003041,123.680644828645,294,3,3,2,3,FALSE,18,"No",NA,NA
"CR-Ab","3-1-2-3","T3_P1_H2_W3",139.064230907163,298.280396279216,90.0659452712603,124.220492842345,294,3,1,2,3,FALSE,19,"No",NA,NA
"CR-Ab","2-3-2-3","T2_P3_H2_W3",140.893969247234,296.478191055397,89.9366542726906,125.97490052278,294,2,3,2,3,FALSE,20,"No",NA,NA
"CR-Ab","1-3-2-2","T1_P3_H2_W2",140.953540960286,298.149603545322,89.9645320407676,128.671045304986,294,1,3,2,2,FALSE,21,"No",NA,NA
"CR-Ab","2-2-3-1","T2_P2_H3_W1",141.244533444566,280.181182310341,89.6100779335746,126.528753778052,294,2,2,3,1,FALSE,22,"No",NA,NA
"CR-Ab","2-1-2-3","T2_P1_H2_W3",141.548798357494,298.535438879932,89.9403029180827,126.427408775094,294,2,1,2,3,FALSE,23,"No",NA,NA
"CR-Ab","3-3-2-1","T3_P3_H2_W1",142.660068380301,294.08878314596,89.7980274553136,124.514110263102,294,3,3,2,1,FALSE,24,"No",NA,NA
"CR-Ab","2-3-3-3","T2_P3_H3_W3",144.169479612325,285.338809063973,89.5493742672131,125.479131020734,294,2,3,3,3,FALSE,25,"No",NA,NA
"CR-Ab","3-1-3-2","T3_P1_H3_W2",144.252929156147,298.432805031764,89.7945874373323,126.306238471241,294,3,1,3,2,FALSE,26,"No",NA,NA
"CR-Ab","3-3-3-3","T3_P3_H3_W3",144.344678752243,291.333109360414,89.6549180288579,125.193588636805,294,3,3,3,3,FALSE,27,"No",NA,NA
"CR-Ab","3-1-3-1","T3_P1_H3_W1",145.01803837009,289.587828374175,89.5847795159431,125.078057035646,294,3,1,3,1,FALSE,28,"No",NA,NA
"CR-Ab","1-3-3-2","T1_P3_H3_W2",146.312648352107,285.619361309236,89.4366404442728,128.24922849153,294,1,3,3,2,FALSE,29,"No",NA,NA
"CR-Ab","2-1-3-2","T2_P1_H3_W2",147.210768248332,284.936338283668,89.3733371848853,127.334148574586,294,2,1,3,2,FALSE,30,"No",NA,NA
"CR-Ab","2-3-3-2","T2_P3_H3_W2",147.496425243633,286.267027477061,89.383515951378,126.953350040021,294,2,3,3,2,FALSE,31,"No",NA,NA
"CR-Ab","3-3-3-1","T3_P3_H3_W1",148.471213335768,293.760241898843,89.475714724787,125.879734586013,294,3,3,3,1,FALSE,32,"No",NA,NA
"CR-Ab","1-2-2-3","T1_P2_H2_W3",149.047776018489,304.257920931348,89.6465007235338,130.107241362267,294,1,2,2,3,FALSE,33,"No",NA,NA
"CR-Ab","3-3-3-2","T3_P3_H3_W2",149.169483188901,290.523271981757,89.3737429708474,126.428827314505,294,3,3,3,2,FALSE,34,"No",NA,NA
"CR-Ab","2-3-2-1","T2_P3_H2_W1",149.460676891021,293.219893743828,89.4103596142624,126.364014093362,294,2,3,2,1,FALSE,35,"No",NA,NA
"CR-Ab","1-1-3-2","T1_P1_H3_W2",149.699811747148,289.717876534921,89.3282653064222,129.328012784127,294,1,1,3,2,FALSE,36,"No",NA,NA
"CR-Ab","2-1-3-1","T2_P1_H3_W1",150.116940989441,286.451778466084,89.2401726835587,126.869355251123,294,2,1,3,1,FALSE,37,"No",NA,NA
"CR-Ab","2-3-3-1","T2_P3_H3_W1",150.238636751695,290.458767638552,89.3126778038056,126.70741189043,294,2,3,3,1,FALSE,38,"No",NA,NA
"CR-Ab","1-3-3-3","T1_P3_H3_W3",152.207857669373,290.063972765141,89.1937786518876,129.137548929858,294,1,3,3,3,FALSE,39,"No",NA,NA
"CR-Ab","1-2-3-1","T1_P2_H3_W1",154.503196500832,294.170593677404,89.1454507884099,131.362086070972,294,1,2,3,1,FALSE,40,"No",NA,NA
"CR-Ab","1-1-3-3","T1_P1_H3_W3",154.610940253945,293.656132395468,89.1289877656222,130.096353330599,294,1,1,3,3,FALSE,41,"No",NA,NA
"CR-Ab","1-1-3-1","T1_P1_H3_W1",158.207532513321,292.399384116218,88.8961030341336,130.757829511786,294,1,1,3,1,FALSE,42,"No",NA,NA
"CR-Ab","1-3-2-3","T1_P3_H2_W3",161.037320425833,311.226618921873,89.1150874142533,133.345654484708,294,1,3,2,3,FALSE,43,"No",NA,NA
"CR-Ab","1-1-2-3","T1_P1_H2_W3",163.318060814817,313.263061059806,89.0253677901909,134.17610370864,294,1,1,2,3,FALSE,44,"No",NA,NA
"CR-Ab","1-3-3-1","T1_P3_H3_W1",164.395298966427,301.721653665056,88.7253792766784,131.761440301474,294,1,3,3,1,FALSE,45,"No",NA,NA
"CR-Ab","1-3-2-1","T1_P3_H2_W1",170.111050924699,303.878096738468,88.4282266511363,133.244375663314,294,1,3,2,1,FALSE,46,"No",NA,NA
"CR-Ab","2-2-2-2","T2_P2_H2_W2",270.964208552176,461.740329833774,86.2313352845126,194.731162794139,360,2,2,2,2,FALSE,47,"No",NA,NA
"CR-Ab","2-1-2-2","T2_P1_H2_W2",275.483966136983,466.580727473927,86.0637712514893,196.856658723013,360,2,1,2,2,FALSE,48,"No",NA,NA
"CR-Ab","2-2-2-1","T2_P2_H2_W1",286.312290536398,472.057431473033,85.5279216242944,200.10596137208,360,2,2,2,1,FALSE,49,"No",NA,NA
"CR-Ab","2-1-2-1","T2_P1_H2_W1",287.419557230653,472.24129164,85.4641646775184,200.131452111314,360,2,1,2,1,FALSE,50,"No",NA,NA
"CR-Ab","1-2-2-2","T1_P2_H2_W2",289.339873040716,478.653392067542,85.4799597842324,198.693224455431,360,1,2,2,2,FALSE,51,"No",NA,NA
"CR-Ab","1-1-2-2","T1_P1_H2_W2",298.669513641085,485.309223606773,85.0416763329101,201.947138645821,360,1,1,2,2,FALSE,52,"No",NA,NA
"CR-Ab","1-2-2-1","T1_P2_H2_W1",311.059701668749,491.203245265675,84.3734406512589,205.062822048439,360,1,2,2,1,FALSE,53,"No",NA,NA
"CR-Ab","1-1-2-1","T1_P1_H2_W1",320.881090196716,491.206809023704,83.7142720456905,205.542589909318,360,1,1,2,1,FALSE,54,"No",NA,NA
"CR-Ec","3-3-2-3","T3_P3_H2_W3",-1215.28946688018,-1053.98531282686,77.9529926269867,-562.869150681368,621,3,3,2,3,FALSE,1,"Yes",0.107638372356364,0.0411875645367304
"CR-Ec","3-2-2-3","T3_P2_H2_W3",-1215.07107846284,-1053.27833866314,77.9530680978171,-562.869100194746,621,3,2,2,3,FALSE,2,"No",0.107429863339798,0.0404141827154047
"CR-Ec","3-3-1-3","T3_P3_H1_W3",-1214.85330618246,-1052.57721282136,77.9530816058513,-562.868944288868,621,3,3,1,3,FALSE,3,"No",0.107398051521764,0.040952677246548
