"Bacteria","Model","Climate_Variable","x_value","Density","Scaled_Density"
"3GCR-Ec","Model A","Temperature",13.4436242930561,0.0431915637474474,0.180967328967151
"3GCR-Ec","Model A","Temperature",13.5193447981215,0.042132869601552,0.176531530974373
"3GCR-Ec","Model A","Temperature",13.5950653031869,0.0411652251721856,0.17247722007245
"3GCR-Ec","Model A","Temperature",13.6707858082523,0.0402750247834878,0.168747390156355
"3GCR-Ec","Model A","Temperature",13.7465063133178,0.0394549751484178,0.165311483252246
"3GCR-Ec","Model A","Temperature",13.8222268183832,0.0387037018749811,0.162163740827054
"3GCR-Ec","Model A","Temperature",13.8979473234486,0.0380195819863982,0.159297362808095
"3GCR-Ec","Model A","Temperature",13.973667828514,0.0374191780159055,0.156781744168384
"3GCR-Ec","Model A","Temperature",14.0493883335794,0.0368813519441785,0.154528319212102
"3GCR-Ec","Model A","Temperature",14.1251088386449,0.0364004130455694,0.152513244500138
"3GCR-Ec","Model A","Temperature",14.2008293437103,0.0359731359469566,0.150723006116621
"3GCR-Ec","Model A","Temperature",14.2765498487757,0.0355962481645351,0.149143892757726
"3GCR-Ec","Model A","Temperature",14.3522703538411,0.0352792207685042,0.147815587040327
"3GCR-Ec","Model A","Temperature",14.4279908589065,0.0350005680956387,0.146648066683507
"3GCR-Ec","Model A","Temperature",14.503711363972,0.0347560822469262,0.145623701109006
"3GCR-Ec","Model A","Temperature",14.5794318690374,0.0345414937934416,0.144724601935812
"3GCR-Ec","Model A","Temperature",14.6551523741028,0.0343533410780763,0.14393626524727
"3GCR-Ec","Model A","Temperature",14.7308728791682,0.0341892460931285,0.143248727484189
"3GCR-Ec","Model A","Temperature",14.8065933842336,0.0340372364587163,0.142611825850395
"3GCR-Ec","Model A","Temperature",14.8823138892991,0.0338930069266028,0.142007521886376
"3GCR-Ec","Model A","Temperature",14.9580343943645,0.033752320392191,0.141418062646072
"3GCR-Ec","Model A","Temperature",15.0337548994299,0.0336103455520888,0.140823205563701
"3GCR-Ec","Model A","Temperature",15.1094754044953,0.0334593387089169,0.140190505501615
"3GCR-Ec","Model A","Temperature",15.1851959095607,0.0332960896218285,0.139506511946313
"3GCR-Ec","Model A","Temperature",15.2609164146262,0.033117271117723,0.138757284452557
"3GCR-Ec","Model A","Temperature",15.3366369196916,0.0329197359575338,0.137929636476541
"3GCR-Ec","Model A","Temperature",15.412357424757,0.0326969954990023,0.136996381406892
"3GCR-Ec","Model A","Temperature",15.4880779298224,0.0324428384056272,0.135931494509185
"3GCR-Ec","Model A","Temperature",15.5637984348878,0.0321601951442466,0.134747254078306
"3GCR-Ec","Model A","Temperature",15.6395189399533,0.0318475364995699,0.133437252890656
"3GCR-Ec","Model A","Temperature",15.7152394450187,0.0315035803039021,0.131996118821612
"3GCR-Ec","Model A","Temperature",15.7909599500841,0.031121363503223,0.130394677532991
"3GCR-Ec","Model A","Temperature",15.8666804551495,0.0307006842776925,0.128632083424536
"3GCR-Ec","Model A","Temperature",15.9424009602149,0.0302473556857785,0.126732692494798
"3GCR-Ec","Model A","Temperature",16.0181214652804,0.0297619940132118,0.124699086905035
"3GCR-Ec","Model A","Temperature",16.0938419703458,0.0292454653677379,0.122534895539957
"3GCR-Ec","Model A","Temperature",16.1695624754112,0.0286929029332066,0.120219727039705
"3GCR-Ec","Model A","Temperature",16.2452829804766,0.0281103444429684,0.117778878762898
"3GCR-Ec","Model A","Temperature",16.321003485542,0.0275037596036358,0.115237363044508
"3GCR-Ec","Model A","Temperature",16.3967239906074,0.026875655162205,0.112605682845505
"3GCR-Ec","Model A","Temperature",16.4724444956729,0.0262287198987544,0.109895103823039
"3GCR-Ec","Model A","Temperature",16.5481650007383,0.0255632597072257,0.107106907635027
"3GCR-Ec","Model A","Temperature",16.6238855058037,0.0248874625227868,0.104275400720701
"3GCR-Ec","Model A","Temperature",16.6996060108691,0.0242060044323994,0.101420175308129
"3GCR-Ec","Model A","Temperature",16.7753265159346,0.0235224550018177,0.0985561874378887
