"P10","P50","P90","OR_P10","OR_P50","OR_P90","ORratio","DlogOR","Dir","Source","Bacteria","Mode","CV"
4.4,10.6,20.7,1.04000085866769,1.0098425183771,0.958077650868973,0.921227749846605,-0.0820479879042014,-1,"Primary","CR-Ec","full","Temperature"
512.1,744.2,1355.4,0.992001316262057,0.996556753324469,1.00864862238121,1.01678153632082,0.0166422821137813,1,"Primary","CR-Ec","full","Precipitation"
63.976,75.592,81.907,1.00000041180283,0.999999487980134,1.0000000322956,0.999999620492925,-3.79507146927027e-07,-1,"Primary","CR-Ec","full","Humidity"
68.5,155.8,205.1,0.977579309898208,1.01377229208444,0.974618674969712,0.996971463186138,-0.00303313211184275,-1,"Primary","CR-Ec","full","WetDays"
4.33,10.6,20.7,1.04243373147163,1.01166235487026,0.955310320998434,0.916423070510003,-0.0872771535669105,-1,"Primary","CR-Ec","common","Temperature"
511.61,741,1325.02,0.999996355408,0.999996696335726,1.00000383595726,1.00000748057653,7.48054854841463e-06,1,"Primary","CR-Ec","common","Precipitation"
63.92,75.4975,81.7897,0.9999999533154,0.999999923412921,1.00000013153158,1.00000017821619,1.78216173474311e-07,1,"Primary","CR-Ec","common","Humidity"
67.73,155.5,201.37,0.96869208369265,1.01403884455244,0.986259890379841,1.01813559435752,0.0179731060732764,1,"Primary","CR-Ec","common","WetDays"
4.8094,10.494,20.3962,1.02325581216802,1.01151636777075,0.968496088330289,0.94648481524702,-0.0550003515179532,-1,"ERA5","CR-Ec","full","Temperature"
581.5684,860.9054,1394.4355,0.987025043615355,0.996061348238072,1.01449378127849,1.02782982847377,0.0274496168261795,1,"ERA5","CR-Ec","full","Precipitation"
63.976,75.592,81.907,1.00000013398129,0.999999912445938,0.999999926572896,0.999999792591634,-2.07408387069262e-07,-1,"ERA5","CR-Ec","full","Humidity"
148.1707,236.3129,280.7769,1.01395721277897,1.00871537168286,0.979857066987783,0.966369245801082,-0.0342092757753872,-1,"ERA5","CR-Ec","full","WetDays"
4.66723,10.4655,20.31974,1.02422271399899,1.01127077912439,0.967883558904603,0.944993257497275,-0.0565774864373663,-1,"ERA5","CR-Ec","common","Temperature"
576.22677,857.13065,1368.99349,0.986667451357104,0.99565702973768,1.01230924120854,1.02598827985677,0.0256563235417802,1,"ERA5","CR-Ec","common","Precipitation"
63.92,75.4975,81.7897,1.00000018114801,0.999999904994023,0.999999901300318,0.999999720152361,-2.79847678484722e-07,-1,"ERA5","CR-Ec","common","Humidity"
147.99066,235.3374,278.71639,1.01437624854792,1.00830004531718,0.980162467317474,0.966271113623353,-0.03431082822133,-1,"ERA5","CR-Ec","common","WetDays"
3.677,10.087,21.0788,1.03643532936229,1.01567787154121,0.951901399265745,0.918437814978234,-0.0850810794188581,-1,"MERRA2","CR-Ec","full","Temperature"
510.1432,781.6064,1282.9824,0.999954570562166,0.999987326405875,1.00004763956335,1.00009307322945,9.30688984042039e-05,1,"MERRA2","CR-Ec","full","Precipitation"
65.6572,79.8556,88.7078,1.00000070665452,1.00000001148361,0.999999298327049,0.999998591673524,-1.40832746813383e-06,-1,"MERRA2","CR-Ec","full","Humidity"
149.6893,238.365,307.3002,0.998125405749946,1.0172496600119,0.979089895971964,0.980928739346456,-0.0192554628845477,-1,"MERRA2","CR-Ec","full","WetDays"
3.67168,10.0653,20.92403,1.03195459009253,1.01357264941262,0.958554524275034,0.928872775486261,-0.0737834973546205,-1,"MERRA2","CR-Ec","common","Temperature"
509.06226,779.90715,1246.81952,0.999998717073203,0.999999119349812,1.00000150545274,1.00000278838312,2.78837922924518e-06,1,"MERRA2","CR-Ec","common","Precipitation"
65.55129,79.77935,88.72656,1.00000210650315,1.00000016956727,0.99999782817846,0.999995721684323,-4.27832482936591e-06,-1,"MERRA2","CR-Ec","common","Humidity"
149.39439,237.95065,307.21797,0.99837674180424,1.01572644684567,0.98101324749936,0.982608274434057,-0.0175447383243063,-1,"MERRA2","CR-Ec","common","WetDays"
6.7,10.8,21.5,0.907348959168207,0.936582240273824,1.23261547796305,1.35848007043841,0.30636647950681,1,"Primary","CR-Kp","full","Temperature"
519.5,746.6,1376,1.02940552815087,1.03171044132866,0.93364416544645,0.906974112644961,-0.09764137101086,-1,"Primary","CR-Kp","full","Precipitation"
63.347,75.227,81.866,0.991653012862156,1.00153137336714,1.00704501005739,1.01552155541867,0.0154023282223536,1,"Primary","CR-Kp","full","Humidity"
67,154.7,203.8,0.871448595608025,0.94072713378604,0.980308134007946,1.12491791133586,0.117710065292652,1,"Primary","CR-Kp","full","WetDays"
6.56,10.8,21.57,0.89517822179351,0.933961458436788,1.23545810498903,1.38012529227282,0.322174286549858,1,"Primary","CR-Kp","common","Temperature"
517.96,743.45,1353.93,1.0454791272402,1.02027158681088,0.955615808682988,0.914045803291712,-0.0898745957729765,-1,"Primary","CR-Kp","common","Precipitation"
