"Bacteria","Variable","S1","S2","Mode","Curve_r","MaxDiff","MeanDiff","DirAgree","Shape1","Shape2","ShapeAgree","SameSrc"
"CR-Kp","Temperature (°C)","Primary","ERA5","full",0.652669966498424,0.354397414526945,0.180751003508765,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Kp","Temperature (°C)","Primary","MERRA2","full",0.646781802712334,0.5266533823867,0.196819241942174,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Kp","Temperature (°C)","ERA5","MERRA2","full",0.964799084040408,0.178642244698337,0.0829272666258827,TRUE,"Inv-U","J/S",FALSE,FALSE
"CR-Kp","Precipitation (mm)","Primary","ERA5","full",-0.356492172564029,0.360818353062772,0.106557067145966,FALSE,"J/S","Complex",FALSE,FALSE
"CR-Kp","Precipitation (mm)","Primary","MERRA2","full",-0.142874973507211,0.240740684436854,0.0615595482121203,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Kp","Precipitation (mm)","ERA5","MERRA2","full",-0.375102171663119,0.13806106309778,0.0781371899860787,FALSE,"Complex","Inv-U",FALSE,FALSE
"CR-Kp","Relative Humidity (%)","Primary","ERA5","full",-0.571265377074017,0.0354621667672114,0.0153658375407304,FALSE,"Mono+","U",FALSE,TRUE
"CR-Kp","Relative Humidity (%)","Primary","MERRA2","full",-0.408241514046678,0.152614001344948,0.086382774167004,FALSE,"Mono+","J/S",FALSE,FALSE
"CR-Kp","Relative Humidity (%)","ERA5","MERRA2","full",-0.414855449510936,0.14724173897671,0.0766794905512673,TRUE,"U","J/S",FALSE,FALSE
"CR-Kp","Wet Days (d)","Primary","ERA5","full",0.525906670277631,0.558852415516929,0.146760026769293,TRUE,"Complex","U",FALSE,FALSE
"CR-Kp","Wet Days (d)","Primary","MERRA2","full",0.473226260193443,0.507720647941139,0.150282322012027,TRUE,"Complex","U",FALSE,FALSE
"CR-Kp","Wet Days (d)","ERA5","MERRA2","full",0.992584915099894,0.0523593390376513,0.0311978127444203,TRUE,"U","U",TRUE,FALSE
"CR-Pa","Temperature (°C)","Primary","ERA5","full",-0.280205973818297,0.548125945300807,0.12972118423045,FALSE,"U","J/S",FALSE,FALSE
"CR-Pa","Temperature (°C)","Primary","MERRA2","full",0.377357593076946,0.250241645622254,0.0519872869891076,FALSE,"U","U",TRUE,FALSE
"CR-Pa","Temperature (°C)","ERA5","MERRA2","full",0.767090064256461,0.297884299678553,0.0808945995329745,TRUE,"J/S","U",FALSE,FALSE
"CR-Pa","Precipitation (mm)","Primary","ERA5","full",0.631557335645115,0.352338131514489,0.075898935499806,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Precipitation (mm)","Primary","MERRA2","full",0.624905087263746,0.285397496944522,0.0898756418481872,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Precipitation (mm)","ERA5","MERRA2","full",0.873302874934791,0.112331016861847,0.0646680562120289,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Relative Humidity (%)","Primary","ERA5","full",0.9184194944945,0.40467747307577,0.092278380855347,TRUE,"Inv-U","Complex",FALSE,TRUE
"CR-Pa","Relative Humidity (%)","Primary","MERRA2","full",0.720757628532314,0.427585156979104,0.117712953491663,FALSE,"Inv-U","Complex",FALSE,FALSE
"CR-Pa","Relative Humidity (%)","ERA5","MERRA2","full",0.468517482479148,0.455257641258603,0.100523217429053,FALSE,"Complex","Complex",TRUE,FALSE
"CR-Pa","Wet Days (d)","Primary","ERA5","full",0.963004729654294,0.508325434919798,0.156197522900141,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"CR-Pa","Wet Days (d)","Primary","MERRA2","full",0.542375814105252,0.397805498399762,0.140451516163745,TRUE,"Inv-U","Mono+",FALSE,FALSE
"CR-Pa","Wet Days (d)","ERA5","MERRA2","full",0.591547352698063,0.110519936520036,0.0476477248201184,TRUE,"Inv-U","Mono+",FALSE,FALSE
"3GCR-Ec","Temperature (°C)","Primary","ERA5","common",0.995122974975639,0.0771039634851717,0.0247800352804622,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Temperature (°C)","Primary","MERRA2","common",0.983681813382005,0.107651504590244,0.0280818931348875,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Temperature (°C)","ERA5","MERRA2","common",0.988791039172483,0.055646683056825,0.0289649790905704,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","ERA5","common",0.904753287141434,0.383238801069825,0.110246819474258,TRUE,"Mono-","Inv-U",FALSE,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","MERRA2","common",0.942712680302825,0.340811650579449,0.130119048007931,TRUE,"Mono-","Inv-U",FALSE,FALSE
"3GCR-Ec","Precipitation (mm)","ERA5","MERRA2","common",0.993614018364959,0.0877549515024708,0.0618024469258902,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Relative Humidity (%)","Primary","ERA5","common",0.95824310075692,1.66729115599403,0.497294586793237,TRUE,"U","U",TRUE,TRUE
"3GCR-Ec","Relative Humidity (%)","Primary","MERRA2","common",0.779959546088848,0.475631738096029,0.230510787665081,TRUE,"U","Mono-",FALSE,FALSE
"3GCR-Ec","Relative Humidity (%)","ERA5","MERRA2","common",0.751128238541899,1.19321207957305,0.358393443720389,TRUE,"U","Mono-",FALSE,FALSE
"3GCR-Ec","Wet Days (d)","Primary","ERA5","common",-0.275168547018225,0.555877439192173,0.194753067161945,FALSE,"Complex","J/S",FALSE,FALSE
"3GCR-Ec","Wet Days (d)","Primary","MERRA2","common",-0.341334568274003,0.564605069388756,0.171338962141875,FALSE,"Complex","Complex",TRUE,FALSE
"3GCR-Ec","Wet Days (d)","ERA5","MERRA2","common",0.917551903429076,0.140408501653082,0.0529184790033271,TRUE,"J/S","Complex",FALSE,FALSE
"3GCR-Kp","Temperature (°C)","Primary","ERA5","common",0.525676411418029,0.400003919085079,0.0996027092090045,FALSE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Temperature (°C)","Primary","MERRA2","common",0.488506322694181,0.265160399924525,0.0761832967745605,FALSE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Temperature (°C)","ERA5","MERRA2","common",0.998446144516773,0.134843519160554,0.0477132456896754,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","ERA5","common",0.781843928550919,0.17256218300581,0.0583028477489438,TRUE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","MERRA2","common",0.848692473155448,0.192408671395749,0.0420504781421022,TRUE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","ERA5","MERRA2","common",0.889647490714192,0.183979132384944,0.0385862049957947,TRUE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Relative Humidity (%)","Primary","ERA5","common",0.791409007551793,0.136326074547034,0.0438485580836025,TRUE,"J/S","Inv-U",FALSE,TRUE
"3GCR-Kp","Relative Humidity (%)","Primary","MERRA2","common",0.591858204550027,0.0741874216298575,0.0386810796419179,TRUE,"J/S","J/S",TRUE,FALSE
"3GCR-Kp","Relative Humidity (%)","ERA5","MERRA2","common",0.00527613719451532,0.143380231369116,0.0804008355476422,TRUE,"Inv-U","J/S",FALSE,FALSE
"3GCR-Kp","Wet Days (d)","Primary","ERA5","common",-0.515863464152194,2.70360629328614e-06,7.18666945211943e-07,FALSE,"Complex","J/S",FALSE,FALSE
"3GCR-Kp","Wet Days (d)","Primary","MERRA2","common",0.776628258580736,0.00356387683764592,0.00205204867654252,TRUE,"Complex","U",FALSE,FALSE
"3GCR-Kp","Wet Days (d)","ERA5","MERRA2","common",0.138399531219395,0.003564129618568,0.00205245799181056,FALSE,"J/S","U",FALSE,FALSE
"CR-Ab","Temperature (°C)","Primary","ERA5","common",0.982533855667701,0.220781231463672,0.0872295808708677,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Ab","Temperature (°C)","Primary","MERRA2","common",0.941409880714272,0.973861511809526,0.447526321221244,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Ab","Temperature (°C)","ERA5","MERRA2","common",0.975701455440711,0.959386952791004,0.361843860125711,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"CR-Ab","Precipitation (mm)","Primary","ERA5","common",0.97865998830689,0.0487845856641729,0.0243982646624234,TRUE,"Inv-U","J/S",FALSE,FALSE
"CR-Ab","Precipitation (mm)","Primary","MERRA2","common",0.541077991988953,0.166694385227555,0.0721579584018859,TRUE,"Inv-U","Mono+",FALSE,FALSE
"CR-Ab","Precipitation (mm)","ERA5","MERRA2","common",0.461950248960493,0.127087430473299,0.0643661552662128,TRUE,"J/S","Mono+",FALSE,FALSE
"CR-Ab","Relative Humidity (%)","Primary","ERA5","common",0.0153910649766114,1.01224649129428e-06,4.76147577659347e-07,FALSE,"Inv-U","Inv-U",TRUE,TRUE
"CR-Ab","Relative Humidity (%)","Primary","MERRA2","common",0.505179837354871,0.775907856443479,0.113062461937952,FALSE,"Inv-U","Complex",FALSE,FALSE
"CR-Ab","Relative Humidity (%)","ERA5","MERRA2","common",0.764101223143487,0.775906844196988,0.113062201316167,TRUE,"Inv-U","Complex",FALSE,FALSE
"CR-Ab","Wet Days (d)","Primary","ERA5","common",0.775964415241456,0.485002427694687,0.188263413675075,TRUE,"Inv-U","Mono-",FALSE,FALSE
"CR-Ab","Wet Days (d)","Primary","MERRA2","common",0.747651151520915,0.161992463761495,0.0869078134449761,TRUE,"Inv-U","J/S",FALSE,FALSE
"CR-Ab","Wet Days (d)","ERA5","MERRA2","common",0.201888297484239,0.533586135078144,0.131061017079573,TRUE,"Mono-","J/S",FALSE,FALSE
"CR-Ec","Temperature (°C)","Primary","ERA5","common",0.304360434187765,0.140673578466851,0.0316340325232559,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Ec","Temperature (°C)","Primary","MERRA2","common",0.13923416857082,0.188061831754814,0.0390914756963661,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Temperature (°C)","ERA5","MERRA2","common",0.983356259685829,0.0473882532879628,0.0128302294585959,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Precipitation (mm)","Primary","ERA5","common",0.965411337691971,0.0740769526077178,0.0302907007889208,TRUE,"U","Mono+",FALSE,FALSE
"CR-Ec","Precipitation (mm)","Primary","MERRA2","common",0.994974709883068,3.17702782457463e-05,1.02392888279368e-05,TRUE,"U","U",TRUE,FALSE
"CR-Ec","Precipitation (mm)","ERA5","MERRA2","common",0.982340998939769,0.0741087228859636,0.0303008552934904,TRUE,"Mono+","U",FALSE,FALSE
"CR-Ec","Relative Humidity (%)","Primary","ERA5","common",0.363738100629582,9.35382163058662e-07,4.39376486464083e-07,FALSE,"U","U",TRUE,TRUE
"CR-Ec","Relative Humidity (%)","Primary","MERRA2","common",-0.951500190887344,6.34952465250471e-06,2.16977033926202e-06,FALSE,"U","Inv-U",FALSE,FALSE
"CR-Ec","Relative Humidity (%)","ERA5","MERRA2","common",-0.27449336131303,6.04786441626981e-06,2.14161539354385e-06,TRUE,"U","Inv-U",FALSE,FALSE
"CR-Ec","Wet Days (d)","Primary","ERA5","common",0.750234931897448,0.103884304265258,0.0355746609449283,TRUE,"J/S","Inv-U",FALSE,FALSE
"CR-Ec","Wet Days (d)","Primary","MERRA2","common",-0.040883327497982,0.121699700669138,0.0396083227981904,FALSE,"J/S","J/S",TRUE,FALSE
"CR-Ec","Wet Days (d)","ERA5","MERRA2","common",0.570167002463639,0.0191954206798629,0.0112186821993875,FALSE,"Inv-U","J/S",FALSE,FALSE
"CR-Kp","Temperature (°C)","Primary","ERA5","common",0.105001442746246,0.481532386819746,0.185479067836555,FALSE,"J/S","J/S",TRUE,FALSE
"CR-Kp","Temperature (°C)","Primary","MERRA2","common",0.16813113584553,0.670587299822413,0.213455099941638,FALSE,"J/S","J/S",TRUE,FALSE
"CR-Kp","Temperature (°C)","ERA5","MERRA2","common",0.993411977819925,0.189276136478114,0.0679749195014511,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Kp","Precipitation (mm)","Primary","ERA5","common",0.810031139495936,0.169235473743645,0.0731002456401003,TRUE,"Mono-","J/S",FALSE,FALSE
"CR-Kp","Precipitation (mm)","Primary","MERRA2","common",-0.0960920629005823,0.21658173398938,0.0953074979523547,FALSE,"Mono-","Inv-U",FALSE,FALSE
"CR-Kp","Precipitation (mm)","ERA5","MERRA2","common",0.475542740676007,0.385817207733026,0.117027036870832,FALSE,"J/S","Inv-U",FALSE,FALSE
"CR-Kp","Relative Humidity (%)","Primary","ERA5","common",-0.609565391019598,0.00716113748026548,0.00302074084730558,FALSE,"Mono+","U",FALSE,TRUE
"CR-Kp","Relative Humidity (%)","Primary","MERRA2","common",-0.315119092093978,0.149855101011764,0.0735525747005502,FALSE,"Mono+","J/S",FALSE,FALSE
"CR-Kp","Relative Humidity (%)","ERA5","MERRA2","common",-0.384754457691189,0.148833452376289,0.0721728786497511,TRUE,"U","J/S",FALSE,FALSE
"CR-Kp","Wet Days (d)","Primary","ERA5","common",0.394454673387004,0.35695314836429,0.120502846702797,TRUE,"Complex","U",FALSE,FALSE
"CR-Kp","Wet Days (d)","Primary","MERRA2","common",0.28329434976527,0.333604099180623,0.116186062601675,TRUE,"Complex","U",FALSE,FALSE
"CR-Kp","Wet Days (d)","ERA5","MERRA2","common",0.955238799811352,0.0677456275157624,0.0355250717217788,TRUE,"U","U",TRUE,FALSE
"CR-Pa","Temperature (°C)","Primary","ERA5","common",0.784692819529945,0.222088002711586,0.0817968540140544,TRUE,"U","U",TRUE,FALSE
"CR-Pa","Temperature (°C)","Primary","MERRA2","common",0.778278419676699,0.163252491101993,0.0504314102211262,FALSE,"U","U",TRUE,FALSE
"CR-Pa","Temperature (°C)","ERA5","MERRA2","common",0.22344884603205,0.385340493813579,0.125110856531562,FALSE,"U","U",TRUE,FALSE
"CR-Pa","Precipitation (mm)","Primary","ERA5","common",0.963738350551984,0.121101864648461,0.0365220362007898,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Precipitation (mm)","Primary","MERRA2","common",0.766565336749134,0.235065189918886,0.0703441539639162,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Precipitation (mm)","ERA5","MERRA2","common",0.826166035626927,0.277267533367383,0.0645154290665421,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Pa","Relative Humidity (%)","Primary","ERA5","common",0.72129669128379,0.256496626711996,0.0892368134137055,TRUE,"Complex","Complex",TRUE,TRUE
"CR-Pa","Relative Humidity (%)","Primary","MERRA2","common",0.575203495425453,0.359022810836696,0.075747241887423,FALSE,"Complex","Complex",TRUE,FALSE
"CR-Pa","Relative Humidity (%)","ERA5","MERRA2","common",0.0405537516845851,0.536896214796125,0.104006452032512,FALSE,"Complex","Complex",TRUE,FALSE
"CR-Pa","Wet Days (d)","Primary","ERA5","common",0.735799771446029,0.186179445016763,0.091403415181643,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"CR-Pa","Wet Days (d)","Primary","MERRA2","common",0.533816699329891,0.400547275567477,0.123800044111801,TRUE,"Inv-U","Mono+",FALSE,FALSE
"CR-Pa","Wet Days (d)","ERA5","MERRA2","common",0.954243126668315,0.214367830550714,0.0721845815606715,TRUE,"Inv-U","Mono+",FALSE,FALSE
