"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-2.58934790533551,-5.19038076152305,-0.170734057129959,0.0971106151668958,0.843045745666979,0.696929610293635,1.0197961441009,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.57501968331262,-5.09018036072144,-0.168126557908516,0.0961089878512216,0.845246855241075,0.700122349580473,1.02045342035294,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.56069146128973,-4.98997995991984,-0.165523873924055,0.0951252942795138,0.847449631015282,0.703301607011576,1.02114209600564,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.54636323926684,-4.88977955911824,-0.162926119227718,0.0941597993302409,0.849653959186462,0.706466619329531,1.02186264801352,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.53203501724394,-4.78957915831663,-0.160333407870649,0.0932127596304864,0.851859724877279,0.709616627002958,1.02261554091935,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.51770679522105,-4.68937875751503,-0.157745853903988,0.0922844227553591,0.854066812134666,0.712750875745675,1.02340122532539,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.50337857319816,-4.58917835671343,-0.155163571378879,0.0913750264008596,0.856275103928464,0.715868618105587,1.02422013629819,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.48905035117527,-4.48897795591182,-0.152586674346463,0.0904847975327293,0.858484482150204,0.718969115119947,1.02507269171048,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.47472212915238,-4.38877755511022,-0.150015276857884,0.0896139515142501,0.860694827612059,0.722051638032754,1.02595929052452,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.46039390712949,-4.28857715430862,-0.147449492964284,0.088762691216413,0.862906020045948,0.72511547006921,1.02688031102201,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.44606568510659,-4.18837675350701,-0.144889436716804,0.0879312061143336,0.86511793810282,0.728159908261244,1.0278361089866,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.4317374630837,-4.08817635270541,-0.142335222166588,0.0871196713742459,0.867330459352083,0.731184265317162,1.02882701584612,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.41740924106081,-3.98797595190381,-0.139786963364777,0.0863282469358574,0.869543460281221,0.734187871527584,1.02985333678239,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.40308101903792,-3.8877755511022,-0.137244774362514,0.0855570765952752,0.871756816295571,0.737170076698904,1.03091534881738,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.38875279701503,-3.7875751503006,-0.134708769210942,0.0848062870941231,0.873970401718276,0.740130252104595,1.03201329888575,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.37442457499214,-3.687374749499,-0.132179061961202,0.084075987220836,0.876184089790417,0.743067792443855,1.03314740190393,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.36009635296924,-3.58717434869739,-0.129655766664437,0.0833662669304465,0.878397752671317,0.745982117796306,1.03431783884759,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.34576813094635,-3.48697394789579,-0.127138997371789,0.0826771964894484,0.880611261439031,0.748872675560714,1.03552475484916,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
