"NAME","Cluster","Optimal_K","Selection_Method","Region","Climate_Factor"
"Iceland",4,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Norway",4,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Egypt",4,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"Lebanon",4,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"Canada",4,8,"Gap statistic (restricted maxSE)","North America","Temperature"
"Ghana",4,8,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Temperature"
"Malawi",4,8,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Temperature"
"China",5,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Austria",5,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Belarus",5,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Latvia",5,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Lithuania",5,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Switzerland",5,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"India",5,8,"Gap statistic (restricted maxSE)","South Asia","Temperature"
"Australia",6,8,"Gap statistic (restricted maxSE)","East Asia and Pacific","Temperature"
"Mexico",6,8,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Temperature"
"Bahrain",6,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"Malta",6,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"Tunisia",6,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"Pakistan",6,8,"Gap statistic (restricted maxSE)","South Asia","Temperature"
"Finland",7,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Sweden",7,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"Russia",8,8,"Gap statistic (restricted maxSE)","Europe and Central Asia","Temperature"
"United Arab Emirates",8,8,"Gap statistic (restricted maxSE)","Middle East and North Africa","Temperature"
"China",1,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"South Korea",1,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Italy",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"North Macedonia",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Portugal",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Romania",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Serbia",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Spain",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Turkey",1,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"United States of America",1,10,"Gap statistic (restricted maxSE)","North America","Wet Days"
"Hungary",2,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Malawi",2,10,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Wet Days"
"Bulgaria",3,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Georgia",3,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Greece",3,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Thailand",4,10,"Gap statistic (restricted maxSE)","East Asia and Pacific","Wet Days"
"Belarus",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Bosnia and Herz.",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Croatia",4,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
