"Bacteria","scenario","period","gcm_mean_change_pct","gcm_min_change_pct","gcm_max_change_pct","gcm_sd_change_pct","gcm_range_width_pct","n_climate_models","Scenario_Label","Scenario_Full_Label"
"CR-Ec","ssp245","2030s",-6.11858036487129,-8.21240122427215,-4.41894017082441,1.66312496127749,3.79346105344774,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp245","2050s",-1.13272771969553,-3.46283792518888,1.23796182881704,2.31438147138274,4.70079975400592,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp245","2090s",3.06266187490083,2.37036949244227,3.72951924026029,0.70777854762548,1.35914974781802,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Ec","ssp370","2030s",-4.22069705619497,-5.96281166947623,-2.45801773091259,1.51287955020996,3.50479393856363,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp370","2050s",-0.131160653195144,-2.39051022486604,1.8246580063475,1.7628178239373,4.21516823121355,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp370","2090s",7.09355352991746,4.06626989396965,10.0730847447146,2.45594034913669,6.00681485074495,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Ec","ssp585","2030s",-2.5412542709135,-5.8090258778909,1.23713151505943,3.06863990199626,7.04615739295033,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp585","2050s",4.5359620494952,2.36994717868255,7.69927584692195,2.27743844837945,5.32932866823939,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Ec","ssp585","2090s",8.65577564380169,4.99294343544861,10.4935391872027,2.4869668122646,5.50059575175408,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Kp","ssp126","2030s",10.8187393842831,6.90213997131241,17.0086822384352,4.6791877320998,10.1065422671228,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp126","2050s",33.9641617902582,28.9571024218661,43.9049856234999,6.74158317197467,14.9478832016337,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp126","2090s",47.7904136861706,38.4326488394399,59.800411062083,9.01174369902419,21.3677622226431,4,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Kp","ssp245","2030s",13.016502583877,8.77040410312878,20.7291763853825,5.57036054875868,11.9587722822537,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp245","2050s",38.4276528880591,32.5107034583298,45.9811202287425,6.09510969531241,13.4704167704127,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp245","2090s",54.9280551228614,48.1459200539931,64.1419144747367,7.70288008238479,15.9959944207436,4,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Kp","ssp370","2030s",13.9475724273491,6.76675284901841,19.5109624246309,5.48751955210559,12.7442095756125,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp370","2050s",41.1744130509984,32.252855401611,45.8631296850651,6.3531023761949,13.6102742834541,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp370","2090s",56.2026018841691,47.4852938639486,61.0985634285838,6.0222054711365,13.6132695646352,4,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Kp","ssp585","2030s",15.4063858758559,9.75763201139663,22.7523973211935,5.43908926413878,12.9947653097968,4,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
