"Bacteria","scenario","climate_zone","period","relative_change_pct","lower_95ci_pct","upper_95ci_pct","n_years","n_draws","Scenario_Label"
"CR-Ab","ssp585","Polar Zone","2090s",27.4807331549293,-0.142348847332895,55.645603436217,10,1000,"SSP5-8.5"
"CR-Ec","ssp126","Tropical Zone","2030s",-4.71977019176023,-9.3524110653744,-0.470339353762517,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Temperate Zone","2030s",-3.47586915773059,-7.95786371229473,0.965352697851789,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Polar Zone","2030s",-6.42547500558283,-10.0360490854843,-2.62727568221949,10,1000,"SSP1-2.6"
"CR-Ec","ssp245","Tropical Zone","2030s",-4.16385194721345,-8.9664029566866,0.640974427813378,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Temperate Zone","2030s",-2.98347269057257,-7.87735329920836,1.90866825598716,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Polar Zone","2030s",-6.02002024313764,-10.3662536004718,-1.72648391837137,10,1000,"SSP2-4.5"
"CR-Ec","ssp370","Tropical Zone","2030s",-3.77390463808608,-8.80614294430512,1.49212840219259,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Temperate Zone","2030s",-2.63355267524824,-7.74848580932263,2.73025421352852,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Polar Zone","2030s",-5.43169400231128,-10.2235361303865,-1.03559076676841,10,1000,"SSP3-7.0"
"CR-Ec","ssp585","Tropical Zone","2030s",-2.82824822639122,-8.79021800104403,2.71484306940825,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Temperate Zone","2030s",-2.05794864254554,-8.05420590981798,3.91880481089189,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Polar Zone","2030s",-4.74681006119763,-9.70736149056452,0.274886205727899,10,1000,"SSP5-8.5"
"CR-Ec","ssp126","Tropical Zone","2050s",-3.28994463789461,-7.71899401074436,1.16068950251539,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Temperate Zone","2050s",-2.00341878964711,-6.68478163672819,2.65852532265248,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Polar Zone","2050s",-5.19041333624712,-8.85275074105451,-1.24017832175157,10,1000,"SSP1-2.6"
"CR-Ec","ssp245","Tropical Zone","2050s",-0.610165859802934,-5.57787242568299,4.07679860078733,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Temperate Zone","2050s",0.703841412298711,-4.31633812105072,5.88730284682894,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Polar Zone","2050s",-2.53002701566219,-6.7332587740513,1.93552583898392,10,1000,"SSP2-4.5"
"CR-Ec","ssp370","Tropical Zone","2050s",0.576299211212709,-4.71856260229636,6.28415441589987,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Temperate Zone","2050s",2.03014845208743,-3.61039994556722,7.63178024738985,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Polar Zone","2050s",-1.05219318755641,-5.68184242389959,4.00150539980456,10,1000,"SSP3-7.0"
"CR-Ec","ssp585","Tropical Zone","2050s",2.34406000958825,-4.08774075273738,8.17582586519757,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Temperate Zone","2050s",3.68575040173829,-2.54345827020301,10.1288794282835,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Polar Zone","2050s",0.492192741297772,-4.66136036808991,6.0224329724054,10,1000,"SSP5-8.5"
"CR-Ec","ssp126","Tropical Zone","2090s",-4.53999677861034,-8.90288624790665,-0.207286166477771,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Temperate Zone","2090s",-3.17832265302605,-7.75399521202523,1.32293886600302,10,1000,"SSP1-2.6"
"CR-Ec","ssp126","Polar Zone","2090s",-6.38516968505239,-10.0962099698318,-2.15621587107095,10,1000,"SSP1-2.6"
"CR-Ec","ssp245","Tropical Zone","2090s",1.87415843705661,-3.27825302326844,6.78388921876781,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Temperate Zone","2090s",3.37875568835903,-1.53879947754141,8.52742755140827,10,1000,"SSP2-4.5"
"CR-Ec","ssp245","Polar Zone","2090s",-0.0876010902250622,-4.37439021591358,4.47998570129686,10,1000,"SSP2-4.5"
"CR-Ec","ssp370","Tropical Zone","2090s",4.87252946634456,-0.803023064562747,10.5994999204443,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Temperate Zone","2090s",6.38756597541695,0.45079597552624,11.9955122423168,10,1000,"SSP3-7.0"
"CR-Ec","ssp370","Polar Zone","2090s",2.83013595379457,-2.27648005570649,7.82136085302227,10,1000,"SSP3-7.0"
"CR-Ec","ssp585","Tropical Zone","2090s",8.64465313446269,2.52003494518586,15.2807897335037,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Temperate Zone","2090s",10.1153150651156,3.3254763210611,16.8929106381336,10,1000,"SSP5-8.5"
"CR-Ec","ssp585","Polar Zone","2090s",6.60454703456271,0.234803097049736,12.5831982839518,10,1000,"SSP5-8.5"
"CR-Kp","ssp126","Tropical Zone","2030s",4.82608484303539,-5.83149735615333,15.0309315220208,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Temperate Zone","2030s",6.70128785210732,-2.53470989693167,15.7390197124275,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Polar Zone","2030s",23.7301022642062,20.8429847648223,25.9491862125861,10,1000,"SSP1-2.6"
"CR-Kp","ssp245","Tropical Zone","2030s",5.98556215412875,-5.85234234001557,17.6721025239874,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Temperate Zone","2030s",8.61591713496494,-1.63133306483977,16.9700613857587,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Polar Zone","2030s",23.0591411178761,18.9648534697112,26.577599656322,10,1000,"SSP2-4.5"
"CR-Kp","ssp370","Tropical Zone","2030s",7.51155468143088,-4.77058501820441,18.8586766188915,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Temperate Zone","2030s",10.3319034058987,-0.065266783270595,19.7792152384664,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Polar Zone","2030s",26.5092088117854,21.8869411199326,32.1903040202398,10,1000,"SSP3-7.0"
"CR-Kp","ssp585","Tropical Zone","2030s",7.95490329856882,-4.92700199744388,20.0726220907273,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Temperate Zone","2030s",10.8014611975967,0.498169917671777,20.8847952034391,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Polar Zone","2030s",28.5212631980475,24.2634607584274,34.1238840898813,10,1000,"SSP5-8.5"
"CR-Kp","ssp126","Tropical Zone","2050s",22.7639356139288,7.76169924967323,38.3957608089724,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Temperate Zone","2050s",27.3034790195005,14.2559447399935,40.8072560833024,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Polar Zone","2050s",59.7606269119674,54.1676989088899,64.2502555106888,10,1000,"SSP1-2.6"
"CR-Kp","ssp245","Tropical Zone","2050s",26.9293135234636,10.8712612423762,43.681127134552,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Temperate Zone","2050s",31.5243009274043,16.6212670230085,45.4539648699223,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Polar Zone","2050s",63.1021154973953,56.9140370128945,67.3218378146363,10,1000,"SSP2-4.5"
"CR-Kp","ssp370","Tropical Zone","2050s",30.415037021032,12.8902497941029,46.1582967532073,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Temperate Zone","2050s",35.2792019221634,21.0733477922781,49.4827965263717,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Polar Zone","2050s",68.4699263090349,59.6503022897131,76.712462741854,10,1000,"SSP3-7.0"
"CR-Kp","ssp585","Tropical Zone","2050s",31.4716470054831,14.2719218646815,48.779168366312,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Temperate Zone","2050s",36.4949867064602,22.0863295366428,51.1670543610697,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Polar Zone","2050s",72.1288002582643,61.5521480954697,82.2712910728252,10,1000,"SSP5-8.5"
"CR-Kp","ssp126","Tropical Zone","2090s",38.3894381714953,20.1105188902287,57.7819314433266,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Temperate Zone","2090s",44.4088132881594,28.6080812407044,60.1093374244824,10,1000,"SSP1-2.6"
"CR-Kp","ssp126","Polar Zone","2090s",86.8873322229191,72.5936235046625,100.237699354871,10,1000,"SSP1-2.6"
"CR-Kp","ssp245","Tropical Zone","2090s",44.4629528386232,25.4632130397408,64.1761406901679,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Temperate Zone","2090s",51.0276102068435,33.6858635301118,68.9125624699345,10,1000,"SSP2-4.5"
"CR-Kp","ssp245","Polar Zone","2090s",92.8748972708917,77.2915837766273,109.17686062816,10,1000,"SSP2-4.5"
"CR-Kp","ssp370","Tropical Zone","2090s",45.0548616563628,25.5111706551157,64.9286275084301,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Temperate Zone","2090s",53.717731939653,36.3157830223989,72.3136951727699,10,1000,"SSP3-7.0"
"CR-Kp","ssp370","Polar Zone","2090s",92.1628412523357,78.5493858327407,106.024532153759,10,1000,"SSP3-7.0"
"CR-Kp","ssp585","Tropical Zone","2090s",45.5408787723132,24.6873360317539,65.1083448228903,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Temperate Zone","2090s",58.0878263896416,40.4633383331591,77.7429981017994,10,1000,"SSP5-8.5"
"CR-Kp","ssp585","Polar Zone","2090s",94.3566073106937,80.0954196221194,107.699021859151,10,1000,"SSP5-8.5"
"CR-Pa","ssp126","Tropical Zone","2030s",30.0505903660983,22.1389997866835,38.3896934068736,10,1000,"SSP1-2.6"
"CR-Pa","ssp126","Temperate Zone","2030s",5.50408358717995,-1.09993132431709,12.3373097063461,10,1000,"SSP1-2.6"
"CR-Pa","ssp126","Polar Zone","2030s",34.228394797289,28.3659830638559,40.1054159934415,10,1000,"SSP1-2.6"
"CR-Pa","ssp245","Tropical Zone","2030s",32.4517461037998,25.7687055470648,39.5030958970702,10,1000,"SSP2-4.5"
"CR-Pa","ssp245","Temperate Zone","2030s",6.90103151610336,0.222342872905354,14.1016797181351,10,1000,"SSP2-4.5"
"CR-Pa","ssp245","Polar Zone","2030s",35.8872775837219,29.8447758617369,41.5406051397632,10,1000,"SSP2-4.5"
"CR-Pa","ssp370","Tropical Zone","2030s",34.9145752121969,25.9212068094052,43.4516778279311,10,1000,"SSP3-7.0"
"CR-Pa","ssp370","Temperate Zone","2030s",8.89399049374642,2.56266096409695,16.0875484222294,10,1000,"SSP3-7.0"
"CR-Pa","ssp370","Polar Zone","2030s",36.7807130320863,30.9869494150483,42.0539087618329,10,1000,"SSP3-7.0"
"CR-Pa","ssp585","Tropical Zone","2030s",34.9951768765163,27.5145035210047,43.1455503022227,10,1000,"SSP5-8.5"
"CR-Pa","ssp585","Temperate Zone","2030s",9.1950355155722,1.75893335795633,18.0325121896796,10,1000,"SSP5-8.5"
"CR-Pa","ssp585","Polar Zone","2030s",37.4872532048306,31.5500765479076,43.6065460328955,10,1000,"SSP5-8.5"
"CR-Pa","ssp126","Tropical Zone","2050s",32.1161000566257,24.3573635516913,40.7783570693104,10,1000,"SSP1-2.6"
"CR-Pa","ssp126","Temperate Zone","2050s",7.76156643650636,0.791776556060699,16.0279119912044,10,1000,"SSP1-2.6"
"CR-Pa","ssp126","Polar Zone","2050s",35.5540742191086,26.744110858903,43.2615947949153,10,1000,"SSP1-2.6"
"CR-Pa","ssp245","Tropical Zone","2050s",35.086055229693,27.5969170937635,42.2082018217931,10,1000,"SSP2-4.5"
