"Bacteria","scenario","period","relative_change_pct","lower_95ci_pct","upper_95ci_pct","n_years","n_draws","Scenario_Label","Scenario_Full_Label"
"CR-Kp","ssp585","2050s",35.3317529628269,21.9837239910701,48.6235794484005,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Kp","ssp585","2090s",55.17206654316,38.8549653807516,71.707979956296,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp126","2030s",7.90385214343169,1.61460627942433,14.2900006833485,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp126","2050s",10.1384206051887,3.62191605588756,18.1218671623457,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp126","2090s",9.52899566253404,3.07994689207485,16.6572747655973,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"CR-Pa","ssp245","2030s",9.39362127450697,3.14522764913389,16.336485173879,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp245","2050s",13.5972149765335,6.87021407317954,21.3169445401573,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp245","2090s",15.0972798458639,8.85798183825774,22.3752532230748,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"CR-Pa","ssp370","2030s",11.4228459331448,5.33247446855704,18.155229347029,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp370","2050s",14.7345699838896,9.29814619872848,21.3408452626564,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp370","2090s",17.2773795532414,11.6577150686667,25.9050116058334,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"CR-Pa","ssp585","2030s",11.7062295695442,4.6420935037698,19.8904469773136,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp585","2050s",16.332193278415,10.4534120546842,23.2082871830863,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"CR-Pa","ssp585","2090s",21.0120832123853,14.642336283848,30.3222180649738,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
